,data
0,5.242409064737171
1,1.5677360608794515
2,-5.809161571554837
3,-3.2231270533908565
4,8.075653178740438
5,8.49078129185581
6,0.5133242523171647
7,5.422983584086264
8,6.087403516168843
9,-4.188569384569602
10,6.20854371500797
11,-1.586595061840926
12,1.1077902987661634
13,4.103752448016364
14,10.653689221671835
15,7.631957507254828
16,0.4247231100353259
17,2.5339947468398805
18,-1.1861318179224927
19,5.684853169226132
20,1.3923776889636903
21,2.382084479475592
22,3.5792740096929334
23,0.9923935300980397
24,6.924337426002784
25,-5.649405744821586
26,7.15558731840432
27,1.5117737155102733
28,-3.2696797357824416
29,4.305265862335088
30,8.402610939064381
31,0.38570318678997484
32,10.908606968574622
33,2.8082675049919428
34,4.803961497145239
35,0.08013191022010656
36,3.4460825663994754
37,-4.363577915544254
38,2.691977230716098
39,2.911180949452228
40,5.382290130786188
41,1.4318395070168919
42,4.642841708370146
43,6.277127737382148
44,7.046906093150713
45,0.18701292317875662
46,4.935923343838247
47,3.465131424658645
48,4.087216961074889
49,7.072794151143383
50,6.617893915312073
51,5.929677578678684
52,5.001185026291678
53,3.916315142077032
54,-3.347044403210839
55,1.218372732239246
56,1.465652687939301
57,7.793465655090935
58,4.837863477259029
59,3.270137104795232
60,3.6553325561241317
61,3.1431568387530735
62,0.7332726498967755
63,1.564517289145407
64,4.382176099534969
65,2.8707516963807884
66,-2.675199017057384
67,5.497283429517307
68,-1.0984813608183195
69,3.53960439611266
70,-6.3822030784951735
71,6.251784451486587
72,1.6623984008545252
73,-4.295498461048329
74,8.679062612059502
75,6.324716817129817
76,4.528463855602141
77,0.5252737143400855
78,5.85115906519871
79,-0.6878415300032077
80,5.336031885002961
81,7.713289397583935
82,5.496592877070581
83,2.455864484013352
84,7.767018251623552
85,5.379044547658823
86,4.162397123430973
87,8.347844117976987
88,-2.7796541602438967
89,-7.753693675715147
90,6.936946250861469
91,5.100764031661544
92,3.387107575147651
93,3.9596229848874653
94,3.6960657523793143
95,-2.776741706473857
96,-1.1493473192657138
97,6.358532019532134
98,-2.6826378937495745
99,6.662061241605729
100,2.9586364351451073
101,6.916242876237959
102,5.482983823276855
103,2.4337955323296545
104,3.098397812272081
105,4.104766757947843
106,4.167834508633921
107,3.5821341263178597
108,-3.064240491562944
109,5.5109071092436315
110,-2.499350825520608
111,3.100700231467118
112,-0.8995379094375537
113,5.576619969432219
114,8.315952359369518
115,9.372606038392195
116,2.2697959672577532
117,-0.5318388592527202
118,-4.000986085722222
119,4.384795492040935
120,-1.267874234191452
121,7.695471379553684
122,2.9762298453299993
123,2.176111030846786
124,7.310276711269087
125,1.7739237869956601
126,5.764816393295877
127,-1.4975073048219838
128,-2.014539857651291
129,-0.3774098601178155
130,8.44545211047004
131,-0.7207623872163307
132,5.253241861700542
133,5.16400340188178
134,6.985034116145107
135,-0.046737643405116124
136,2.148571454841124
137,7.102175948123378
138,7.204583270532084
139,5.663569194505756
140,8.872148353493303
141,-0.21282147534303836
142,-3.029119694667892
143,3.1338298515608756
144,0.3564588212863137
145,-1.2001218478813482
146,3.7755526233115044
147,6.458381603019503
148,3.639467029572709
149,2.320986329583138
150,5.481320978014295
151,4.075615349080646
152,-0.8932332678015231
153,-5.063882748707875
154,8.322946818350205
155,6.464817684140486
156,9.934270210408512
157,1.8919790238614298
158,-2.605975699326787
159,7.239918980096887
160,-3.0929044082849777
161,6.127777585958039
162,2.065876729860724
163,-3.3844358281445728
164,3.956732032782681
165,-5.35858918640705
166,2.0197319669451854
167,-0.9964737562275263
168,-2.136010444598822
169,5.402215304318416
170,-7.9407401838704015
171,5.026002216339679
172,3.6106518116595776
173,5.273406607522347
174,6.038268829030087
175,3.558262909342586
176,2.978417510295043
177,-3.5217553102369643
178,1.6877880993262966
179,0.7534071901872403
180,8.344928934895174
181,-4.4584802107584025
182,4.117895671946632
183,-3.040873694809729
184,-5.035561884528305
185,3.733750753380705
186,0.453790316556387
187,6.629656472125946
188,-4.097183836275427
189,-5.29788945629532
190,-2.797652296503885
191,0.5595813798991252
192,5.120811143170857
193,3.3910596278207623
194,3.0084591911426246
195,3.768475568946255
196,3.096585678246755
197,8.802797234108318
198,8.420949015523355
199,5.866196462327688
200,6.761057087527178
201,4.622407138293899
202,4.0376869421334876
203,-2.642952090100599
204,5.087863517689416
205,-3.8366385948575408
206,3.6679506429814492
207,6.34744673341463
208,7.241647374276005
209,0.3371528836815166
210,3.5428450743395246
211,0.28732721115970683
212,1.9313204154421757
213,5.067931306361231
214,3.8111004775808555
215,-6.822618216952494
216,8.899332890417378
217,2.7170559377358554
218,6.508345665516647
219,0.6211203768256047
220,2.6777676089740496
221,9.03229155238748
222,6.284139735476087
223,-7.411448327017139
224,5.147593597482745
225,-5.775637808586447
226,7.166116796636068
227,-2.427935528537344
228,4.783138574987892
229,4.248690314524849
230,6.29386813045724
231,8.255873623103088
232,3.922961125961373
233,-2.0681732436932485
234,4.925524148962208
235,4.767427008715394
236,6.465374015681768
237,5.955790822857006
238,5.552744272229563
239,5.636447531605678
240,5.65525035806667
241,2.5105856092010406
242,0.7148648789434843
243,-0.2738561825088329
244,5.2374277789048795
245,4.38584750993402
246,8.761123049942011
247,1.9485863733240907
248,-0.6167895607015528
249,-2.4178626986866605
250,8.483695859346039
251,-5.792002691841504
252,3.004538141092862
253,5.684093634219064
254,5.495749868327033
255,-2.6591551008106724
256,3.8135713859208824
257,0.12551624349025095
258,-4.968657291398925
259,3.47429704461828
260,6.724215328133677
261,-5.184018972906207
262,4.525995011056746
263,-0.5744159914481447
264,-1.0549018374145844
265,7.062729500052591
266,7.482617442732474
267,6.918386923088372
268,5.680113160412952
269,-1.5530067928992997
270,-1.116074286596746
271,-5.284337116993051
272,-1.9207882685093258
273,0.8586469126321918
274,-2.5403398764378124
275,4.2265868141197585
276,-9.257914054923297
277,6.869238982264922
278,0.1592134475553351
